poste,competences_requises,competences_candidat,experience_requise,experience_candidat,diplome_requis,diplome_candidat,langues_requises,langues_candidat,score_compatibilite,taux_competences,taux_experience,taux_diplome,taux_langues,poids_competences,poids_experience,poids_diplome,poids_langues
Data Analyst,Excel; Python; SQL,Power BI; Excel; Data Visualization; SQL; Python,2,7,Licence,Master,Anglais (débutant),Français (courant); Anglais (courant),101.6,1.0,1.0,1.2,1.0,0.15,0.72,0.08,0.05
Content Manager,WordPress; Analytics; Content Strategy,Canva; Content Strategy; SEO; Adobe XD,1,5,Licence,Bac,Anglais (courant),Français (courant),42.67,0.3333333333333333,1.0,0.5,0.0,0.56,0.17,0.14,0.13
Community Manager,Analytics; Facebook; TikTok; Copywriting; Canva; Instagram,Analytics; Facebook; Canva; Copywriting; TikTok; Illustrator,2,6,Licence,Master,Français (courant); Anglais (avancé),Français (intermédiaire),85.53,0.8333333333333334,1.0,1.2,0.25,0.67,0.21,0.06,0.06
Developpeur Web,PHP; Laravel; JavaScript; HTML/CSS; Git; MySQL,Laravel; PHP; JavaScript,1,6,Bac,Licence,Anglais (avancé); Français (avancé),Français (intermédiaire),88.0,0.5,1.0,1.2,0.3333333333333333,0.06,0.09,0.55,0.3
Community Manager,Analytics; TikTok; Instagram,Copywriting; Canva; Analytics; Facebook; TikTok; Instagram,2,4,Master,Licence,Français (intermédiaire); Anglais (courant),Français (avancé); Anglais (avancé),93.38,1.0,1.0,0.6666666666666666,0.875,0.56,0.21,0.18,0.05
UI/UX Designer,UX Research; Photoshop; Adobe XD; Illustrator; Prototypage,Photoshop; Adobe XD,4,6,Bac,Licence,Anglais (débutant); Français (intermédiaire),Français (intermédiaire),58.9,0.4,1.0,1.2,0.5,0.68,0.16,0.11,0.05
SEO/SEA,Keyword Research; Google Analytics; Google Ads,Aucune information,3,6,Licence,Master,Anglais (courant); Français (courant),Français (intermédiaire); Anglais (débutant),68.42,0.0,1.0,1.2,0.375,0.19,0.16,0.34,0.31
UI/UX Designer,Adobe XD; Illustrator; Figma; UX Research,Figma; Photoshop; Adobe XD; Prototypage; Copywriting; Canva,1,3,Master,Bac,Français (avancé),Français (intermédiaire); Anglais (intermédiaire),48.33,0.5,1.0,0.3333333333333333,0.6666666666666666,0.34,0.11,0.49,0.06
SEO/SEA,Google Ads; Keyword Research; Google Analytics; SEM; Search Console; SEO,SEO; Keyword Research; Search Console; Google Ads; SEM,2,5,Master,Licence,Français (avancé); Anglais (débutant),Français (avancé); Anglais (débutant),89.17,0.8333333333333334,1.0,0.6666666666666666,1.0,0.23,0.07,0.21,0.49
Graphiste,Illustrator; Photoshop; Branding,Typographie; Meta Ads,1,0,Licence,Licence,Français (avancé),Français (courant),32.0,0.0,0.0,1.0,1.0,0.37,0.31,0.08,0.24
SEO/SEA,Search Console; Keyword Research; Google Analytics,Keyword Research; Search Console; SEM,3,4,Licence,Bac,Français (courant); Anglais (avancé),Français (intermédiaire),47.25,0.6666666666666666,1.0,0.5,0.25,0.06,0.18,0.25,0.51
Social Media Manager,Facebook; TikTok; LinkedIn; Instagram; Analytics,Facebook; LinkedIn; Analytics,4,4,Master,Bac,Anglais (débutant); Français (avancé),Français (courant); Anglais (débutant),71.87,0.6,1.0,0.3333333333333333,1.0,0.42,0.2,0.17,0.21
SEO/SEA,Google Ads; Keyword Research; SEM; SEO; Search Console,Aucune information,3,4,Master,Master,Français (courant); Anglais (avancé),Français (courant),45.5,0.0,1.0,1.0,0.5,0.5,0.11,0.3,0.09
Developpeur Mobile,Git; Firebase; Kotlin; Java,Git,1,1,Licence,Bac,Anglais (intermédiaire),Français (courant); Anglais (débutant),41.0,0.25,1.0,0.5,0.5,0.68,0.16,0.08,0.08
Developpeur Mobile,Flutter; Dart; Git; Java,Aucune information,2,1,Bac,Licence,Français (courant); Anglais (avancé),Français (courant),42.0,0.0,0.5,1.2,0.5,0.23,0.63,0.05,0.09
Chef de projet digital,Communication; ClickUp; Agile; Gestion de projet,ClickUp; Asana; Communication; Excel; Typographie,2,8,Bac,Bac,Français (intermédiaire),Français (courant); Anglais (avancé),65.5,0.5,1.0,1.0,1.0,0.69,0.12,0.05,0.14
SEO/SEA,SEO; Search Console; Keyword Research; Google Ads; Google Analytics; SEM,Aucune information,4,4,Master,Bac,Français (avancé),Français (courant),74.33,0.0,1.0,0.3333333333333333,1.0,0.15,0.08,0.16,0.61
Data Analyst,Pandas; Excel; Power BI; Python; Data Visualization,SQL,4,6,Bac,Bac,Français (intermédiaire),Français (courant); Anglais (débutant),33.0,0.0,1.0,1.0,1.0,0.67,0.09,0.05,0.19
Developpeur Web,JavaScript; MySQL; PHP,Laravel; HTML/CSS; Git; JavaScript; MySQL; PHP; Search Console,3,5,Bac,Master,Français (courant); Anglais (débutant),Français (avancé); Anglais (intermédiaire),98.78,1.0,1.0,1.2,0.875,0.42,0.17,0.12,0.29
UI/UX Designer,Figma; Illustrator; UX Research; Photoshop,Photoshop; Illustrator; Figma; Adobe XD; Prototypage; UX Research,2,0,Bac,Bac,Anglais (courant); Français (courant),Français (courant),88.5,1.0,0.0,1.0,0.5,0.76,0.08,0.09,0.07
Chef de projet digital,Communication; Scrum; ClickUp; Asana,Gestion de projet; Asana; ClickUp; Agile,4,0,Master,Licence,Français (courant),Français (avancé); Anglais (courant),35.92,0.5,0.0,0.6666666666666666,0.75,0.49,0.35,0.07,0.09
UI/UX Designer,Photoshop; UX Research; Illustrator,Illustrator; Prototypage,3,6,Licence,Master,Anglais (avancé); Français (intermédiaire),Français (intermédiaire); Anglais (courant),59.2,0.3333333333333333,1.0,1.2,1.0,0.63,0.16,0.06,0.15
Content Manager,Canva; Copywriting; WordPress; Content Strategy,Copywriting; Analytics; Content Strategy; Canva; WordPress,4,2,Licence,Bac,Anglais (avancé),Français (avancé); Anglais (intermédiaire),83.17,1.0,0.5,0.5,0.6666666666666666,0.57,0.06,0.09,0.28
Graphiste,Branding; Canva; InDesign; Illustrator; Typographie,Typographie,2,5,Master,Master,Français (avancé),Français (intermédiaire),57.8,0.2,1.0,1.0,0.6666666666666666,0.49,0.12,0.3,0.09
Graphiste,Branding; Typographie; Illustrator; Photoshop; Canva; InDesign,Canva; InDesign; Illustrator; Typographie; Branding,2,4,Master,Licence,Français (courant),Français (avancé),76.25,0.8333333333333334,1.0,0.6666666666666666,0.75,0.07,0.1,0.22,0.61
UI/UX Designer,Prototypage; Figma; Photoshop; UX Research; Adobe XD,Photoshop; Illustrator; Prototypage; UX Research; Adobe XD; Figma,4,3,Bac,Master,Français (avancé),Français (avancé),91.0,1.0,0.75,1.2,1.0,0.21,0.4,0.05,0.34
Chef de projet digital,ClickUp; Asana; Agile; Communication; Gestion de projet; Scrum,Agile; Gestion de projet,3,2,Bac,Bac,Français (courant),Français (avancé),65.58,0.3333333333333333,0.6666666666666666,1.0,0.75,0.16,0.57,0.08,0.19
Developpeur Web,PHP; HTML/CSS; MySQL,JavaScript,3,6,Licence,Licence,Français (courant); Anglais (débutant),Français (avancé),81.38,0.0,1.0,1.0,0.375,0.13,0.72,0.06,0.09
Graphiste,Photoshop; Branding; InDesign; Typographie,Photoshop,2,4,Licence,Licence,Français (intermédiaire),Français (courant),78.25,0.25,1.0,1.0,1.0,0.29,0.56,0.05,0.1
Developpeur Mobile,Git; Dart; Java; Kotlin,Instagram; LinkedIn,2,4,Bac,Master,Anglais (débutant),Français (avancé),81.2,0.0,1.0,1.2,0.0,0.09,0.62,0.16,0.13
Graphiste,Photoshop; Canva; Branding,Aucune information,4,2,Bac,Bac,Français (avancé),Français (intermédiaire),33.33,0.0,0.5,1.0,0.6666666666666666,0.51,0.24,0.14,0.11
Data Analyst,Excel; Python; Power BI; Data Visualization; SQL,Data Visualization; Scrum; Facebook,4,2,Master,Licence,Anglais (courant),Français (courant); Anglais (courant),68.07,0.2,0.5,0.6666666666666666,1.0,0.07,0.18,0.52,0.23
SEO/SEA,Google Ads; Google Analytics; Search Console; SEM; Keyword Research,Search Console; SEO; SEM,1,2,Master,Licence,Français (intermédiaire),Français (courant); Anglais (débutant),61.47,0.4,1.0,0.6666666666666666,1.0,0.57,0.09,0.13,0.21
Chef de projet digital,Agile; ClickUp; Asana; Scrum; Communication; Gestion de projet,Gestion de projet,3,8,Licence,Bac,Français (avancé); Anglais (intermédiaire),Français (avancé),70.5,0.16666666666666666,1.0,0.5,0.5,0.15,0.51,0.24,0.1
Developpeur Web,PHP; Laravel; HTML/CSS; MySQL,Laravel; MySQL; HTML/CSS,1,2,Licence,Bac,Anglais (avancé),Français (courant); Anglais (débutant),68.25,0.75,1.0,0.5,0.3333333333333333,0.31,0.31,0.08,0.3
Data Analyst,SQL; Python; Pandas,Python,2,3,Licence,Master,Anglais (avancé); Français (courant),Français (courant),77.37,0.3333333333333333,1.0,1.2,0.5,0.32,0.57,0.06,0.05
Developpeur Mobile,Dart; Java; Flutter; Kotlin; Firebase,Flutter; Firebase; Dart; Git; Kotlin; Java,2,1,Bac,Bac,Français (intermédiaire),Français (courant); Anglais (intermédiaire),93.5,1.0,0.5,1.0,1.0,0.76,0.13,0.06,0.05
Content Manager,Content Strategy; Copywriting; Canva; WordPress; SEO,Analytics,2,0,Master,Bac,Français (courant),Français (courant),59.67,0.0,0.0,0.3333333333333333,1.0,0.07,0.28,0.08,0.57
Community Manager,Copywriting; Canva; Analytics; TikTok; Instagram; Facebook,Copywriting,3,1,Master,Bac,Anglais (débutant); Français (intermédiaire),Français (courant); Anglais (avancé),37.83,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.13,0.72,0.05,0.1
Community Manager,Copywriting; Canva; Analytics,Instagram; Facebook; Analytics,4,5,Licence,Bac,Français (courant); Anglais (avancé),Français (intermédiaire); Anglais (courant),63.92,0.3333333333333333,1.0,0.5,0.75,0.08,0.08,0.39,0.45
UI/UX Designer,Illustrator; Adobe XD; Prototypage; Figma; Photoshop,Illustrator; Photoshop; Adobe XD; UX Research; Figma,4,0,Licence,Bac,Anglais (avancé); Français (avancé),Français (courant),57.6,0.8,0.0,0.5,0.5,0.57,0.19,0.06,0.18
Social Media Manager,TikTok; LinkedIn; Meta Ads,Aucune information,4,6,Bac,Licence,Anglais (avancé); Français (courant),Français (avancé); Anglais (débutant),92.61,0.0,1.0,1.2,0.5416666666666666,0.1,0.21,0.52,0.17
Community Manager,Facebook; Analytics; Instagram; TikTok,Copywriting; TikTok; Facebook; Instagram; Analytics,3,4,Bac,Licence,Français (intermédiaire),Français (avancé); Anglais (courant),104.0,1.0,1.0,1.2,1.0,0.08,0.52,0.2,0.2
Social Media Manager,Meta Ads; Analytics; Facebook,LinkedIn,4,5,Licence,Licence,Français (courant); Anglais (débutant),Français (avancé),76.88,0.0,1.0,1.0,0.375,0.15,0.6,0.12,0.13
UI/UX Designer,Figma; Prototypage; Illustrator; Adobe XD,Figma; Adobe XD; Photoshop; TikTok,4,6,Bac,Bac,Français (avancé),Français (intermédiaire); Anglais (intermédiaire),64.67,0.5,1.0,1.0,0.6666666666666666,0.58,0.12,0.11,0.19
Graphiste,Photoshop; Illustrator; Typographie,Canva,3,1,Master,Master,Français (intermédiaire),Français (courant),13.33,0.0,0.3333333333333333,1.0,1.0,0.82,0.07,0.05,0.06
Developpeur Mobile,Firebase; Java; Kotlin; Dart; Git; Flutter,Java; Dart; Kotlin; Flutter; Git; Firebase,3,4,Master,Licence,Anglais (courant),Français (intermédiaire); Anglais (courant),86.67,1.0,1.0,0.6666666666666666,1.0,0.19,0.34,0.4,0.07
Content Manager,Copywriting; WordPress; SEO; Analytics; Content Strategy,Content Strategy; Analytics; Copywriting; SEO; Canva,2,2,Bac,Licence,Français (avancé); Anglais (courant),Français (courant); Anglais (débutant),95.4,0.8,1.0,1.2,0.625,0.3,0.4,0.22,0.08
Chef de projet digital,Asana; Agile; ClickUp,Agile; Asana; Gestion de projet,4,7,Licence,Licence,Anglais (avancé),Français (intermédiaire),80.33,0.6666666666666666,1.0,1.0,0.0,0.11,0.58,0.15,0.16
Graphiste,Canva; Illustrator; InDesign; Photoshop; Typographie; Branding,Photoshop; Typographie; Branding; Canva; InDesign; Illustrator,2,3,Master,Bac,Français (intermédiaire),Français (courant),96.0,1.0,1.0,0.3333333333333333,1.0,0.59,0.06,0.06,0.29
Developpeur Web,Laravel; PHP; HTML/CSS; Git; MySQL; JavaScript,PHP; HTML/CSS,1,0,Bac,Bac,Anglais (débutant),Français (avancé); Anglais (courant),39.0,0.3333333333333333,0.0,1.0,1.0,0.84,0.05,0.06,0.05
UI/UX Designer,Illustrator; Figma; Photoshop; UX Research; Adobe XD; Prototypage,Photoshop; Adobe XD; Figma; Prototypage,3,5,Bac,Licence,Anglais (intermédiaire),Français (intermédiaire); Anglais (débutant),77.33,0.6666666666666666,1.0,1.2,0.5,0.32,0.16,0.2,0.32
UI/UX Designer,Illustrator; Photoshop; Prototypage; Adobe XD; UX Research; Figma,Adobe XD; UX Research; Figma; Dart; Git,2,0,Licence,Licence,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),48.17,0.5,0.0,1.0,0.8333333333333333,0.61,0.19,0.06,0.14
Social Media Manager,Meta Ads; Instagram; LinkedIn; Analytics; TikTok,Facebook; TikTok; Instagram; LinkedIn; Analytics,1,0,Master,Bac,Français (intermédiaire); Anglais (débutant),Français (courant),43.9,0.8,0.0,0.3333333333333333,0.5,0.43,0.35,0.09,0.13
UI/UX Designer,Illustrator; UX Research; Photoshop; Adobe XD; Figma; Prototypage,Adobe XD; Photoshop; Illustrator; Figma; UX Research; Prototypage,4,1,Master,Master,Français (intermédiaire); Anglais (courant),Français (courant); Anglais (intermédiaire),71.25,1.0,0.25,1.0,0.75,0.2,0.2,0.05,0.55
Graphiste,Canva; Photoshop; Branding; InDesign,Photoshop; Typographie,3,6,Master,Master,Français (intermédiaire),Français (intermédiaire),68.5,0.25,1.0,1.0,1.0,0.42,0.37,0.07,0.14
UI/UX Designer,UX Research; Prototypage; Photoshop; Illustrator; Adobe XD,Prototypage; UX Research; Photoshop; Illustrator; Adobe XD; Laravel,2,3,Licence,Master,Anglais (courant),Français (avancé); Anglais (avancé),100.35,1.0,1.0,1.2,0.75,0.2,0.58,0.13,0.09
SEO/SEA,Keyword Research; Search Console; Google Ads; SEM; SEO; Google Analytics,Keyword Research; Google Analytics; SEM; Google Ads; SEO,3,0,Licence,Bac,Français (avancé),Français (avancé),46.67,0.8333333333333334,0.0,0.5,1.0,0.2,0.35,0.3,0.15
SEO/SEA,SEM; SEO; Keyword Research,Keyword Research; SEO; SEM; Google Analytics; Search Console; Google Ads,3,6,Master,Bac,Français (courant); Anglais (courant),Français (avancé),80.67,1.0,1.0,0.3333333333333333,0.375,0.6,0.1,0.14,0.16
Social Media Manager,Meta Ads; Instagram; Facebook; TikTok,Pandas; Prototypage,4,1,Bac,Master,Français (avancé); Anglais (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),18.17,0.0,0.25,1.2,0.8333333333333333,0.58,0.32,0.05,0.05
UI/UX Designer,Adobe XD; UX Research; Photoshop; Figma; Prototypage; Illustrator,Figma; Adobe XD; UX Research; Prototypage; Illustrator; Photoshop,1,2,Bac,Bac,Français (courant),Français (intermédiaire); Anglais (débutant),95.5,1.0,1.0,1.0,0.5,0.63,0.08,0.2,0.09
Data Analyst,Power BI; Pandas; Excel,Power BI,1,4,Licence,Master,Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),87.73,0.3333333333333333,1.0,1.2,1.0,0.25,0.31,0.22,0.22
Developpeur Mobile,Dart; Kotlin; Firebase,Kotlin; Firebase; Flutter; Dart; Java; Git; SEO; Canva,2,3,Master,Bac,Anglais (avancé),Français (intermédiaire); Anglais (avancé),86.67,1.0,1.0,0.3333333333333333,1.0,0.46,0.16,0.2,0.18
Chef de projet digital,Communication; Scrum; ClickUp,Aucune information,4,0,Licence,Master,Anglais (intermédiaire); Français (courant),Français (avancé); Anglais (intermédiaire),12.45,0.0,0.0,1.2,0.875,0.49,0.39,0.06,0.06
Social Media Manager,Analytics; Facebook; TikTok; Instagram; Meta Ads; LinkedIn,LinkedIn; Meta Ads; TikTok,1,6,Master,Master,Français (intermédiaire),Français (courant); Anglais (intermédiaire),65.5,0.5,1.0,1.0,1.0,0.69,0.2,0.05,0.06
SEO/SEA,SEO; Search Console; Keyword Research; Google Ads; SEM,SEM; SEO,3,2,Licence,Bac,Anglais (intermédiaire),Français (courant); Anglais (intermédiaire),81.33,0.4,0.6666666666666666,0.5,1.0,0.05,0.23,0.16,0.56
Developpeur Web,MySQL; HTML/CSS; Laravel,SEO,1,2,Bac,Licence,Anglais (débutant),Français (courant),58.6,0.0,1.0,1.2,0.0,0.38,0.31,0.23,0.08
Graphiste,Illustrator; Photoshop; InDesign,Typographie; InDesign; Photoshop; Illustrator,3,0,Master,Licence,Français (courant),Français (intermédiaire),75.17,1.0,0.0,0.6666666666666666,0.5,0.62,0.17,0.16,0.05
Social Media Manager,Analytics; Facebook; Instagram; Meta Ads; TikTok,TikTok; LinkedIn; Facebook; Instagram; Meta Ads; Analytics,1,1,Bac,Master,Français (intermédiaire); Anglais (avancé),Français (avancé),98.6,1.0,1.0,1.2,0.5,0.56,0.09,0.23,0.12
Developpeur Web,Laravel; HTML/CSS; JavaScript; MySQL; PHP; Git,Laravel; PHP; Git; JavaScript,1,3,Master,Bac,Français (courant); Anglais (débutant),Français (courant),63.67,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6,0.09,0.05,0.26
UI/UX Designer,Prototypage; Illustrator; Photoshop; Adobe XD; Figma; UX Research,Prototypage; Adobe XD; Photoshop,4,4,Licence,Bac,Français (avancé); Anglais (avancé),Français (intermédiaire),60.0,0.5,1.0,0.5,0.3333333333333333,0.34,0.28,0.14,0.24
Graphiste,Typographie; Photoshop; Illustrator; Branding,Illustrator,1,0,Master,Master,Français (intermédiaire),Français (avancé),53.75,0.25,0.0,1.0,1.0,0.55,0.05,0.08,0.32
Graphiste,Typographie; Photoshop; Canva,Illustrator,1,6,Licence,Bac,Français (courant),Français (courant),75.5,0.0,1.0,0.5,1.0,0.19,0.19,0.11,0.51
SEO/SEA,Search Console; Keyword Research; Google Analytics; Google Ads; SEO; SEM,SEM; Google Analytics; Search Console,2,3,Licence,Licence,Français (avancé); Anglais (avancé),Français (intermédiaire); Anglais (courant),57.83,0.5,1.0,1.0,0.8333333333333333,0.82,0.06,0.05,0.07
Chef de projet digital,Scrum; ClickUp; Agile; Communication; Gestion de projet,Agile; ClickUp; Communication; Asana; Scrum; Gestion de projet,3,3,Licence,Licence,Anglais (courant),Français (intermédiaire); Anglais (débutant),94.75,1.0,1.0,1.0,0.25,0.07,0.76,0.1,0.07
Chef de projet digital,Asana; Scrum; ClickUp; Agile; Gestion de projet; Communication,Gestion de projet; Scrum; Agile; Communication,1,8,Bac,Licence,Anglais (débutant); Français (avancé),Français (avancé),69.97,0.6666666666666666,1.0,1.2,0.5,0.67,0.05,0.09,0.19
Data Analyst,Data Visualization; Power BI; Python; Pandas; Excel,Power BI; Pandas; Python; Data Visualization; Excel,2,6,Licence,Master,Français (intermédiaire); Anglais (débutant),Français (intermédiaire); Anglais (intermédiaire),101.0,1.0,1.0,1.2,1.0,0.84,0.06,0.05,0.05
UI/UX Designer,UX Research; Photoshop; Illustrator,Prototypage; UX Research; Photoshop; Figma; Adobe XD,3,1,Master,Bac,Français (intermédiaire); Anglais (avancé),Français (avancé); Anglais (débutant),54.67,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.34,0.06,0.3,0.3
Chef de projet digital,Gestion de projet; Asana; ClickUp; Agile,Aucune information,4,2,Master,Bac,Français (courant),Français (intermédiaire); Anglais (débutant),29.83,0.0,0.5,0.3333333333333333,0.5,0.24,0.17,0.49,0.1
Chef de projet digital,Gestion de projet; Agile; Communication; Asana; Scrum; ClickUp,Agile; Communication,2,6,Master,Bac,Français (intermédiaire),Français (courant),46.67,0.3333333333333333,1.0,0.3333333333333333,1.0,0.69,0.15,0.11,0.05
Chef de projet digital,Agile; Asana; Scrum; Gestion de projet,Communication; Asana; Scrum,1,0,Bac,Licence,Français (avancé); Anglais (intermédiaire),Français (intermédiaire),41.07,0.5,0.0,1.2,0.3333333333333333,0.62,0.26,0.07,0.05
SEO/SEA,SEO; Search Console; Google Ads; Google Analytics; SEM,Search Console; Google Ads; SEO; Google Analytics; Agile; Laravel,1,5,Licence,Licence,Anglais (avancé); Français (avancé),Français (courant); Anglais (courant),85.8,0.8,1.0,1.0,1.0,0.71,0.1,0.08,0.11
Developpeur Web,Laravel; HTML/CSS; JavaScript; PHP,JavaScript,3,5,Licence,Master,Anglais (intermédiaire),Français (intermédiaire); Anglais (avancé),94.05,0.25,1.0,1.2,1.0,0.21,0.25,0.49,0.05
SEO/SEA,Search Console; SEO; Google Ads; SEM,Aucune information,4,5,Bac,Licence,Anglais (débutant),Français (avancé); Anglais (avancé),94.8,0.0,1.0,1.2,1.0,0.1,0.12,0.24,0.54
Developpeur Mobile,Git; Flutter; Kotlin; Java,Java; Kotlin; Dart; Git; Firebase; Flutter,2,6,Licence,Licence,Anglais (intermédiaire); Français (intermédiaire),Français (courant); Anglais (courant),100.0,1.0,1.0,1.0,1.0,0.65,0.1,0.05,0.2
Graphiste,Illustrator; Canva; InDesign,Branding; Photoshop; Illustrator; Typographie; InDesign; Canva,4,3,Master,Master,Français (intermédiaire),Français (courant),91.5,1.0,0.75,1.0,1.0,0.38,0.34,0.1,0.18
UI/UX Designer,Prototypage; Adobe XD; UX Research,Prototypage,2,2,Bac,Master,Français (avancé),Français (intermédiaire); Anglais (débutant),48.67,0.3333333333333333,1.0,1.2,0.6666666666666666,0.7,0.08,0.05,0.17
Social Media Manager,Instagram; Facebook; LinkedIn; Analytics,Instagram; Meta Ads; LinkedIn; Facebook,2,5,Bac,Master,Français (intermédiaire),Français (intermédiaire); Anglais (intermédiaire),95.25,0.75,1.0,1.2,1.0,0.27,0.29,0.1,0.34
UI/UX Designer,Photoshop; Figma; Prototypage; Illustrator; UX Research,Adobe XD; Prototypage; Photoshop; SEO,1,6,Master,Bac,Français (courant),Français (avancé); Anglais (intermédiaire),79.08,0.4,1.0,0.3333333333333333,0.75,0.05,0.5,0.16,0.29
Social Media Manager,Analytics; Meta Ads; Facebook,Meta Ads; TikTok; Analytics; Instagram; Facebook; LinkedIn,2,1,Licence,Master,Anglais (avancé); Français (intermédiaire),Français (avancé),73.1,1.0,0.5,1.2,0.5,0.35,0.17,0.08,0.4
Community Manager,Copywriting; Facebook; Instagram; Analytics; Canva; TikTok,Facebook; Analytics; Copywriting; Illustrator,3,3,Licence,Licence,Français (courant); Anglais (débutant),Français (avancé); Anglais (courant),63.88,0.5,1.0,1.0,0.875,0.7,0.16,0.05,0.09
Data Analyst,Pandas; SQL; Power BI; Data Visualization; Python,SQL; Excel; Pandas; Power BI; Content Strategy,2,2,Licence,Master,Anglais (courant),Français (intermédiaire); Anglais (courant),78.4,0.6,1.0,1.2,1.0,0.57,0.3,0.06,0.07
Developpeur Web,PHP; Git; Laravel; HTML/CSS; JavaScript; MySQL,Aucune information,3,0,Bac,Licence,Français (avancé),Français (intermédiaire); Anglais (débutant),37.33,0.0,0.0,1.2,0.6666666666666666,0.4,0.24,0.25,0.11
Data Analyst,Excel; Data Visualization; SQL,Data Visualization; SQL; Python,4,3,Licence,Bac,Français (intermédiaire),Français (courant),69.75,0.6666666666666666,0.75,0.5,1.0,0.63,0.27,0.05,0.05
SEO/SEA,Search Console; Google Ads; Google Analytics; Keyword Research; SEM,Search Console; Google Ads; Google Analytics; SEM; Keyword Research; SEO; HTML/CSS,2,3,Bac,Bac,Anglais (courant),Français (avancé),77.0,1.0,1.0,1.0,0.0,0.55,0.08,0.14,0.23
SEO/SEA,Google Analytics; Search Console; Keyword Research; SEO,Keyword Research; Google Ads,2,6,Licence,Master,Anglais (intermédiaire),Français (courant); Anglais (débutant),44.45,0.25,1.0,1.2,0.5,0.67,0.14,0.06,0.13
SEO/SEA,SEM; Google Analytics; Keyword Research; Search Console; SEO,Keyword Research,2,4,Master,Bac,Anglais (débutant),Français (avancé),24.07,0.2,1.0,0.3333333333333333,0.0,0.82,0.05,0.08,0.05
UI/UX Designer,Prototypage; Figma; Photoshop; UX Research; Adobe XD; Illustrator,Photoshop; Branding; Scrum,3,2,Bac,Master,Français (courant),Français (courant); Anglais (avancé),44.83,0.16666666666666666,0.6666666666666666,1.2,1.0,0.61,0.16,0.05,0.18
UI/UX Designer,Figma; UX Research; Illustrator,Adobe XD; UX Research; Figma; Photoshop,4,3,Master,Bac,Français (avancé),Français (intermédiaire); Anglais (avancé),64.17,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666,0.26,0.18,0.12,0.44
Developpeur Web,PHP; HTML/CSS; JavaScript; MySQL; Laravel; Git,Aucune information,4,1,Bac,Bac,Anglais (intermédiaire); Français (courant),Français (courant),16.0,0.0,0.25,1.0,0.5,0.7,0.08,0.06,0.16
Developpeur Mobile,Git; Flutter; Dart; Firebase; Java,Kotlin; Git; Firebase; Java; Dart,2,4,Master,Bac,Anglais (intermédiaire); Français (intermédiaire),Français (avancé),73.47,0.8,1.0,0.3333333333333333,0.5,0.71,0.09,0.14,0.06
Developpeur Web,Git; MySQL; JavaScript; PHP,JavaScript; HTML/CSS; MySQL; PHP; Laravel; Git; SEO; Canva,1,6,Bac,Bac,Français (avancé); Anglais (avancé),Français (courant); Anglais (intermédiaire),95.5,1.0,1.0,1.0,0.8333333333333333,0.41,0.08,0.24,0.27
UI/UX Designer,Adobe XD; Prototypage; UX Research; Figma,Figma; UX Research; Photoshop,2,5,Licence,Master,Anglais (courant); Français (intermédiaire),Français (intermédiaire),86.7,0.5,1.0,1.2,0.5,0.23,0.65,0.06,0.06
Data Analyst,Data Visualization; Python; Excel; Power BI; Pandas; SQL,Data Visualization; Python; Pandas; Power BI; Excel; SQL,2,0,Licence,Bac,Anglais (débutant); Français (avancé),Français (intermédiaire),77.33,1.0,0.0,0.5,0.3333333333333333,0.67,0.06,0.08,0.19
Graphiste,Canva; Typographie; Photoshop; Branding; Illustrator,Typographie; Illustrator,2,6,Master,Bac,Français (avancé),Français (avancé),63.73,0.4,1.0,0.3333333333333333,1.0,0.46,0.3,0.13,0.11
Social Media Manager,Facebook; LinkedIn; Instagram; Meta Ads; Analytics,Instagram; Meta Ads; TikTok; Analytics,4,0,Master,Bac,Anglais (débutant); Français (courant),Français (avancé); Anglais (courant),35.67,0.6,0.0,0.3333333333333333,0.875,0.45,0.42,0.05,0.08
Data Analyst,SQL; Excel; Pandas; Python; Data Visualization; Power BI,Excel; Pandas; Python; Power BI; Data Visualization,4,7,Bac,Master,Français (courant),Français (intermédiaire),87.63,0.8333333333333334,1.0,1.2,0.5,0.55,0.12,0.19,0.14
Developpeur Web,JavaScript; HTML/CSS; PHP; Laravel; MySQL,JavaScript; HTML/CSS; Git,2,4,Bac,Licence,Anglais (intermédiaire); Français (courant),Français (avancé),51.55,0.4,1.0,1.2,0.375,0.72,0.13,0.05,0.1
Data Analyst,Python; Pandas; Excel; Data Visualization; SQL; Power BI,Aucune information,2,4,Bac,Master,Français (intermédiaire); Anglais (débutant),Français (courant); Anglais (courant),42.6,0.0,1.0,1.2,1.0,0.59,0.25,0.08,0.08
Graphiste,Illustrator; Typographie; InDesign,Branding; Photoshop; Canva; Dart; Analytics,2,6,Licence,Licence,Français (intermédiaire),Français (avancé),20.0,0.0,1.0,1.0,1.0,0.8,0.05,0.1,0.05
Chef de projet digital,Communication; Scrum; Asana; ClickUp,Communication; Gestion de projet; Asana; ClickUp; Agile,2,8,Master,Bac,Anglais (débutant),Français (courant),64.42,0.75,1.0,0.3333333333333333,0.0,0.57,0.17,0.14,0.12
